S,fluidColumn,An,Rem,Dfn,colIndex,cdrag
1.28,15,1.3778915147323654,2403.193723032658,1.022711072656174,2,1.903015623825712
1.2,8,1.427996660722633,2100.6449293829874,0.9840350932836978,4,1.9068310773734842
0.6,8,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
0.47100000000000003,15,2.1356850126375204,1714.610413562034,1.0224111502005246,5,1.8582678443135778
0.6,15,1.9634954084936205,916.9873331619171,1.0211804980196648,12,1.684051924244189
0.324,8,2.3728041190255236,1834.9569115937502,1.0191456357422453,5,1.3896634779196597
0.6,11,1.9634954084936205,2137.708328770429,1.0198244907980614,5,1.6864816395450237
1.133,15,1.4728516894466914,2503.181588596273,1.0228215767634854,1,1.7846831216344818
0.6,11,1.9634954084936207,1558.4787777779109,1.0220055254484366,10,1.4548324745557493
1.3530000000000002,8,1.335143499188182,2019.353206785684,1.0169362391531305,7,1.7267708028178579
0.6,15,1.9634954084936205,2273.7123917965455,1.0228215767634854,1,1.7847832214841404
1.2,15,1.427996660722633,2131.62153980616,0.9927925832012315,12,1.9201680638128344
0.6,15,1.9634954084936205,2034.9729923363934,1.0225322890640778,4,1.7568922821753017
1.2,15,1.427996660722633,6132.839733942601,0.9942824693005053,14,1.7666138599082326
1.2,11,1.427996660722633,2220.6192578038895,1.0198324637367344,4,1.8818863176510225
1.2,15,1.427996660722633,3335.009870866767,1.0191108061101324,7,1.8530540453426865
0.863,15,1.6863084560331687,5939.39905185944,0.9926324373477564,14,1.46177652449955
1.035,8,1.543780173754198,2354.513933849663,0.9932603266888402,4,1.8188094602892868
1.5,11,1.2566370614359172,2065.1758573014586,0.9908343439699105,7,1.996057311737964
0.6,15,1.9634954084936207,3010.212782721145,1.0228215767634854,1,1.6630342978534487
1.2,11,1.427996660722633,6084.785889045654,0.9944116342976811,6,1.6818387785678688
1.2,11,1.427996660722633,2787.6800867484753,1.0197432038055094,5,1.9317308345234838
1.2,15,1.427996660722633,6304.248867311874,0.9953151103891037,8,1.7147057048659284
1.2,11,1.427996660722633,1897.577296569294,1.0061035169234034,9,1.9564445138050328
0.373,11,2.288122835826506,2872.211141806775,0.995954356846473,0,-0.09302102675178524
1.2,11,1.427996660722633,2368.3020070166303,0.9934318502650183,3,2.055591454516671
0.6,11,1.9634954084936205,2493.314909506029,1.0225689794421473,4,1.8454192331497996
0.6,15,1.9634954084936205,1751.5609675415928,1.019976215804813,4,1.751930689309044
1.476,15,1.2688177114659906,2011.0583627203373,1.0170133745136554,7,1.9308422551943523
1.2,15,1.427996660722633,2225.007251291517,0.9907250922270173,7,1.9337594330185992
1.3530000000000002,15,1.335143499188182,2315.900222183917,1.020859451957154,3,1.9920321307768414
0.6,15,1.9634954084936207,1638.7032537733933,1.0144255076713538,12,1.9495688419574972
